nombre,carnet,fechaNacimiento,correo
Juan Carlos Pérez,13120200,08/06/2004,juan.perez@votoseguro.bo
María González López,8765432,15/03/1990,maria.gonzalez@votoseguro.bo
Pedro Martínez Silva,4567891,22/07/1988,pedro.martinez@votoseguro.bo
Ana Rodríguez García,1234567,10/12/1995,ana.rodriguez@votoseguro.bo
Luis Fernández López,9876543,05/01/1992,luis.fernandez@votoseguro.bo
Rosa Morales Quispe,5555555,20/08/1987,rosa.morales@votoseguro.bo
Carlos Hidalgo Ruiz,6666666,12/05/1970,carlos.hidalgo@votoseguro.bo
Valentina Cortés López,7777777,18/11/1987,valentina.cortes@votoseguro.bo
Diego Sánchez García,8888888,03/06/1985,diego.sanchez@votoseguro.bo
Jorge Ruiz Mendez,9999999,15/03/1968,jorge.ruiz@votoseguro.bo
